Date,Value
20200321,3.0152
20200320,3.8185
20200323,3.9563
20200322,2.7754
20200325,3.9739
20200324,3.9644
20190310,3.6326
20190311,4.4629
20200208,0.9549
20200209,0.9745
20190314,4.3544
20190315,4.5892
20190316,4.056
20190317,3.6933
20200202,0.9485
20200203,1.0975
20200201,0.9768
20200206,1.0291
20200207,1.0444
20200204,1.0279
20200205,1.0336
20200129,0.9374
20200128,0.947
20200123,2.0448
20200122,2.4538
20200121,2.8781
20200120,3.2487
20200127,0.9627
20200126,1.1227
20200125,1.1917
20200124,1.5617
20200311,3.5217
20190130,2.9745
20200217,1.8517
20200108,4.9618
20200219,1.9262
20200218,1.8731
20190303,3.6641
20190302,3.9724
20190301,4.6138
20190307,4.2366
20190306,4.2948
20190305,4.4621
20190304,4.3777
20200215,1.0751
20200214,1.5225
20190309,3.5755
20200216,1.0676
20200211,1.4749
20200210,1.5597
20200213,1.4838
20200212,1.5088
20190224,3.275
20190225,4.0988
20190226,4.1288
20190227,4.345
20190220,3.8288
20190221,3.8806
20190222,4.0491
20190223,3.3568
20200116,4.3989
20200117,4.1736
20200114,4.5833
20200115,4.5377
20190228,4.4898
20200113,4.6548
20200110,4.9848
20200111,4.252
20190308,4.4252
20200101,4.1738
20200103,5.0258
20200102,4.9706
20200105,3.9768
20200104,4.3151
20200107,4.9647
20200106,4.9561
20200109,4.9446
20190131,2.8306
20200118,3.3005
20200119,3.3742
20190312,4.53
20190328,4.3433
20190313,4.5066
20190321,4.4165
20190320,4.4335
20190323,3.7835
20190322,4.5312
20190325,4.3473
20190324,3.4718
20190327,4.3354
20190326,4.356
20190208,1.5104
20190209,1.5549
20190202,2.0756
20190203,1.7349
20190201,2.3411
20190206,1.6432
20190207,1.4748
20190204,1.466
20190205,1.5546
20190318,4.3735
20190129,3.1828
20190128,3.3756
20190319,4.4427
20190123,3.9
20190122,3.9786
20190121,4.0621
20190120,3.5047
20190127,2.8239
20190126,3.171
20190125,3.8183
20190124,3.9708
20190219,3.6746
20190218,3.6361
20190215,3.3616
20190214,3.2508
20190217,2.7999
20190216,3.0313
20190211,2.243
20190210,1.7053
20190213,3.0384
20190212,2.7817
20190118,4.3772
20190119,3.8079
20190116,4.2223
20190117,4.2997
20190114,4.3139
20190115,4.4899
20190112,3.7956
20190113,3.5353
20200310,3.53
20200112,3.8537
20200312,3.5601
20200313,3.6065
20200314,2.847
20200315,2.5763
20200316,3.7869
20200317,3.7649
20200318,3.696
20200319,3.6785
20200303,3.1712
20200302,3.1551
20200301,1.971
20200307,2.5126
20200306,3.2697
20200305,3.2136
20200304,3.0877
20200309,3.477
20200308,2.2654
20200224,2.5213
20200225,2.5475
20200226,2.6036
20200227,2.6547
20200220,2.0049
20200221,2.1024
20200222,1.6146
20200223,1.4733
20200228,2.7228
20200229,2.1411
20200130,0.9329
20200131,0.9848
